customer_name,customer_id,gender,age,zipcode,city,Tenure in months,phone no.,avg monthly usage,plan type,avg monthly download(GB),payment method,total charge,total refunds,customer status,churn category,churn reason
Bethany Lewis,40892930,Female,66,63847,Perezborough,44,001-727-276-6391x305,1068,Premium,53,PayPal,107.67,20.64,Stayed,,
Julie Fox,12096860,Male,45,74356,Lukechester,58,001-269-662-7665x3289,436,Standard,59,PayPal,178.09,11.39,Churned,Price,Long distance charges
Christopher Johnson,11457710,Male,48,78203,Port Dustin,36,948.206.9863,827,Standard,158,Credit Card,114.91,29.19,Stayed,,
Cynthia Acosta,3666019,Male,75,75926,Bellmouth,69,503.766.8675x748,147,Standard,103,Bank Transfer,187.38,18.57,Stayed,,
Angela Robinson,929616,Female,26,03469,Port Victoriaton,31,3138301548,1418,Standard,56,Credit Card,107.08,22.45,Stayed,,
Heather Murphy,77685088,Male,71,82703,North Tamara,47,(676)488-3223,1876,Standard,104,PayPal,108.28,26.86,Churned,Other,Moved
Carrie Garcia,31943984,Male,68,78134,Lake Joyceville,55,(698)536-6229x41397,257,Basic,121,PayPal,41.55,10.18,Stayed,,
Gregory Jackson,4382508,Male,46,72907,Richardfort,62,842.493.4947x24423,1587,Basic,122,Bank Transfer,164.48,7.79,Stayed,,
James Lowe,7419178,Female,31,10999,Velasqueztown,30,+1-884-515-8771x891,1709,Basic,11,PayPal,64.45,44.02,Stayed,,
Shirley Adams,98178000,Male,57,48013,Reedburgh,55,+1-631-765-6064x911,1865,Premium,50,Credit Card,181.93,21.69,Stayed,,
Jeremy Bowen,54884140,Male,58,76776,Nicholasport,16,001-303-212-1486,635,Standard,50,Credit Card,183.95,20.6,Churned,Dissatisfaction,Network reliability
Katelyn Harris,54553230,Male,39,88128,Christinaview,12,8743625565,215,Premium,104,Bank Transfer,189.8,1.78,Churned,Attitude,Attitude of service provider
Amber Riley,10068284,Male,28,07354,East Andrea,17,(544)533-4438,71,Standard,148,Credit Card,113.64,24.9,Stayed,,
Jonathon King,65526533,Female,40,78006,Davidview,16,587-434-5174x64435,203,Basic,156,Credit Card,141.88,27.71,Stayed,,
Victoria Mercado,69715990,Male,18,89060,Lucasside,12,964.691.3424,1512,Premium,193,Credit Card,160.13,27.94,Stayed,,
Betty Hickman,35509678,Female,63,74044,New Crystalchester,8,9453296284,1368,Basic,58,Credit Card,43.58,35.35,Stayed,,
Megan Padilla,54903291,Female,54,52840,Beckport,3,(709)626-3823x10110,268,Standard,66,PayPal,128.17,8.87,Stayed,,
Derek Parker,61888782,Female,38,80055,North Amanda,16,(217)858-1503x7420,718,Standard,133,Credit Card,26.17,12.61,Stayed,,
Vincent Costa,58762634,Male,43,39420,Harrisland,30,001-549-390-6919x2908,1568,Standard,53,Bank Transfer,109.56,40.54,Stayed,,
Dana Smith,2653134,Female,63,12646,Rossburgh,23,6625171201,279,Basic,29,Bank Transfer,47.87,47.36,Churned,Price,Price too high
Anthony Woods,96771787,Male,53,39873,Kennethside,5,(987)316-9612,69,Standard,14,Credit Card,52.93,6.8,Stayed,,
Charles Mcpherson,71534381,Female,71,24755,West Collinborough,65,(965)366-5227,602,Basic,122,Bank Transfer,85.71,24.88,Churned,Attitude,Attitude of support person
Christopher Roberts,37604036,Female,40,19840,Gonzalezchester,30,511-442-2043,999,Premium,148,Credit Card,97.84,10.71,Stayed,,
William Rhodes,98492587,Female,74,71881,Johnsonmouth,21,+1-857-967-8888x449,197,Standard,190,Bank Transfer,132.17,3.0,Stayed,,
Jonathan Joyce,8669123,Female,18,45653,Port Sethport,70,+1-766-956-6146x000,1181,Standard,161,Bank Transfer,33.4,16.28,Churned,Attitude,Attitude of support person
Jessica Mays,45040709,Female,71,34836,Byrdmouth,22,(797)230-4627,452,Standard,96,Credit Card,110.66,7.18,Stayed,,
Melissa Quinn,76799212,Female,72,32928,Millermouth,32,892-392-8530,645,Premium,138,Credit Card,52.87,35.5,Stayed,,
Joanne Walker,5844478,Female,68,57509,Fowlermouth,33,734-973-9377x600,1556,Standard,148,PayPal,123.32,26.69,Stayed,,
Heather Marks,62913750,Female,57,12524,West Sarahborough,16,744.981.9108x14950,416,Basic,152,Credit Card,134.73,7.19,Stayed,,
Tiffany Mcdowell,87346926,Male,32,15162,Garciaville,38,985-380-4933x82657,1907,Basic,84,Credit Card,120.21,0.46,Churned,Competitor,Competitor had better coverage
Diana Horton,78279439,Male,38,22986,Hannahton,14,893-321-9610,1487,Standard,75,PayPal,152.89,40.41,Churned,Price,Long distance charges
Amber Martinez,55605965,Female,64,17361,East Amy,36,(208)852-3867x9091,1382,Standard,82,Credit Card,80.41,8.81,Stayed,,
Jill King,1870003,Female,26,51187,Simsstad,23,5925109809,851,Premium,47,Credit Card,157.72,30.31,Stayed,,
Tim Hawkins,16246366,Female,70,97286,Nicholasmouth,66,(641)381-0512x0396,967,Premium,158,PayPal,97.9,16.85,Stayed,,
Nathaniel Smith,10178802,Male,26,91488,Angelaberg,2,757.639.6377,1908,Premium,94,Credit Card,107.15,29.27,Stayed,,
Emma Carter,87511039,Female,27,94848,Masseyhaven,65,001-718-913-4472x14316,1207,Standard,82,Credit Card,136.66,15.78,Stayed,,
Gabriel Taylor,4887830,Male,69,61539,Justinchester,67,(475)710-3364x653,1792,Premium,165,PayPal,23.3,4.35,Stayed,,
Jason Glenn,85345857,Male,74,88794,North Kristinbury,52,579-249-6543,1356,Premium,30,PayPal,137.72,11.15,Stayed,,
Rodney Beck Jr.,16896518,Male,70,22932,East Larry,62,432.463.5334x1118,1851,Basic,125,Bank Transfer,131.35,9.4,Stayed,,
Austin Bailey,78343108,Male,43,33378,New Matthewbury,23,(681)248-4954,122,Premium,49,Credit Card,75.77,21.4,Stayed,,
Anna Keith,18007313,Male,58,23915,Amychester,26,001-843-582-3460x583,530,Basic,67,Bank Transfer,35.44,32.91,Stayed,,
Joseph Gregory,39124290,Female,52,73922,Port John,68,+1-999-820-2339x4609,1425,Basic,199,Bank Transfer,36.37,13.19,Stayed,,
Wesley Perez,71311718,Female,69,16755,Aaronchester,55,001-525-837-0916x72034,609,Premium,184,PayPal,186.18,0.6,Churned,Attitude,Attitude of support person
Melissa Turner,18697477,Female,42,39193,West Whitneyfort,6,226-728-6108x017,1399,Basic,72,Credit Card,144.07,25.95,Churned,Dissatisfaction,Network reliability
Jorge Guzman,41174198,Female,43,41243,Port Heatherview,35,294-648-4559,794,Standard,158,Credit Card,42.88,30.29,Stayed,,
Stacey Huerta,79125818,Female,28,37881,Nicoleport,22,(669)950-1290,1516,Standard,6,PayPal,84.21,48.14,Stayed,,
Anna Scott,1888990,Male,55,43833,Christophermouth,43,463.439.2458,149,Premium,146,Bank Transfer,126.65,29.47,Churned,Other,Unknown
Matthew Fitzgerald,61582709,Female,19,83688,Port Richardstad,15,860-309-4990x8859,1132,Standard,112,PayPal,170.4,23.56,Churned,Price,Price too high
Michael Gentry,19227461,Female,24,90144,New Shelbyburgh,60,001-266-762-3974x846,557,Basic,34,Credit Card,27.86,28.67,Churned,Competitor,Competitor offered more data
Nicole Woodward,66099155,Male,35,74601,North Jill,12,739-974-5607x09974,307,Standard,53,PayPal,62.59,46.4,Stayed,,
Jennifer Martinez,88637730,Female,44,55672,Thomasberg,49,001-527-469-1179x970,462,Premium,144,Credit Card,180.15,41.42,Churned,Price,Extra data charges
Aaron Martinez,53840550,Male,51,77027,Paigetown,42,970.609.0047x703,1525,Premium,48,Bank Transfer,21.65,16.15,Stayed,,
Diana Rogers,83294548,Female,44,54615,Abigailborough,38,802-356-5321x68142,1138,Basic,165,Credit Card,56.25,11.86,Stayed,,
Robin Williams,95737445,Male,34,23090,North Kimberly,45,001-929-736-3100x29820,644,Premium,17,Bank Transfer,192.62,13.13,Churned,Competitor,Competitor offered more data
Jordan Anderson,73091430,Female,60,87273,Beniteztown,35,3266747242,1227,Standard,82,Bank Transfer,130.41,25.22,Stayed,,
Kathleen Yoder,2957307,Female,76,29170,Port Angelafort,30,622-479-2274x068,315,Premium,130,Credit Card,67.1,37.2,Churned,Other,Moved
Bonnie Mejia,97738257,Male,61,05281,Port Christopherbury,30,(215)761-7003x89790,870,Basic,102,Credit Card,32.06,25.16,Stayed,,
Haley Smith,22029667,Male,76,13570,East Christophertown,6,(452)439-7128x713,1152,Premium,30,Bank Transfer,25.07,3.39,Churned,Dissatisfaction,Network reliability
Damon Martin,85191372,Male,68,03940,East Jerry,67,001-780-612-9707,1388,Standard,153,PayPal,64.05,36.18,Stayed,,
Evan Reed,38883059,Male,71,48619,Connieport,7,(793)623-1243,711,Basic,160,Credit Card,178.67,40.3,Churned,Attitude,Attitude of support person
Sean Phillips,62601437,Male,41,61944,North Lisa,52,+1-832-807-2959x127,996,Standard,52,Bank Transfer,94.86,14.47,Stayed,,
Robert Walters,49596964,Male,42,04472,Kristinland,14,213.430.0705x8814,609,Basic,172,Bank Transfer,149.66,33.21,Stayed,,
